,Year,IDSupplier,SupplierName,Product,Real_time,Exp_time,Time_dif
0,2014,PROV1003,Proveedor 165,MP03174,45.0,45.0,0.0
1,2014,PROV1003,Proveedor 165,MP03513,34.2,45.0,-10.799999999999997
2,2014,PROV1014,Proveedor 171,P2182,52.0,10.0,42.0
3,2014,PROV1014,Proveedor 171,P2249,14.0,10.0,4.0
4,2014,PROV1014,Proveedor 171,P6019,17.0,10.0,7.0
5,2014,PROV1014,Proveedor 171,P6028,24.0,10.0,14.0
6,2014,PROV1014,Proveedor 171,P6045,23.0,10.0,13.0
7,2014,PROV1014,Proveedor 171,P6049,25.5,10.0,15.5
8,2014,PROV1014,Proveedor 171,P6055,11.0,10.0,1.0
9,2014,PROV1014,Proveedor 171,P6069,24.0,10.0,14.0
10,2014,PROV1014,Proveedor 171,P6083,23.5,10.0,13.5
11,2014,PROV1014,Proveedor 171,P6089,44.0,10.0,34.0
12,2014,PROV1014,Proveedor 171,P6119,48.0,10.0,38.0
13,2014,PROV1014,Proveedor 171,P6148,29.0,10.0,19.0
14,2014,PROV1014,Proveedor 171,P6154,24.0,10.0,14.0
15,2014,PROV1014,Proveedor 171,P6224,15.0,10.0,5.0
16,2014,PROV1014,Proveedor 171,P6273,56.0,10.0,46.0
17,2014,PROV1014,Proveedor 171,P6301,38.0,10.0,28.0
18,2014,PROV1014,Proveedor 171,P6405,50.0,10.0,40.0
19,2014,PROV1027,Proveedor 178,MP03121,39.0,10.0,29.0
20,2014,PROV1027,Proveedor 178,MP03122,28.0,10.0,18.0
21,2014,PROV1027,Proveedor 178,MP03137,46.0,10.0,36.0
22,2014,PROV1027,Proveedor 178,MP03152,38.5,10.0,28.5
23,2014,PROV1027,Proveedor 178,MP03186,33.5,10.0,23.5
24,2014,PROV1061,Proveedor 182,MP06153,33.0,45.0,-12.0
25,2014,PROV1061,Proveedor 182,P9012,25.0,45.0,-20.0
26,2014,PROV1061,Proveedor 182,P9013,35.0,45.0,-10.0
27,2014,PROV1061,Proveedor 182,P9020,52.0,45.0,7.0
28,2014,PROV1061,Proveedor 182,P9021,31.0,45.0,-14.0
29,2014,PROV1061,Proveedor 182,P9026,41.5,45.0,-3.5
30,2014,PROV1061,Proveedor 182,P9028,19.5,45.0,-25.5
31,2014,PROV1061,Proveedor 182,P9054,30.5,45.0,-14.5
32,2014,PROV1061,Proveedor 182,P9108T,37.666666666666664,45.0,-7.333333333333336
33,2014,PROV1061,Proveedor 182,P9117,35.8,45.0,-9.200000000000003
34,2014,PROV1061,Proveedor 182,P9122,52.0,45.0,7.0
35,2014,PROV1061,Proveedor 182,P9123,38.4,45.0,-6.600000000000001
36,2014,PROV1061,Proveedor 182,P9157T,18.5,45.0,-26.5
37,2014,PROV1061,Proveedor 182,P9158T,47.0,45.0,2.0
38,2014,PROV1061,Proveedor 182,P9160T,36.25,45.0,-8.75
